Change Component Designator: OldDesignator=C1000 NewDesignator=C252
Change Component Designator: OldDesignator=C1001 NewDesignator=C253
Change Component Designator: OldDesignator=C1002 NewDesignator=C254
Change Component Designator: OldDesignator=C1003 NewDesignator=C255
Change Component Designator: OldDesignator=C1004 NewDesignator=C256
Change Component Designator: OldDesignator=C1005 NewDesignator=C257
Change Component Designator: OldDesignator=C1006 NewDesignator=C258
Change Component Designator: OldDesignator=C1007 NewDesignator=C259
Change Component Designator: OldDesignator=C1008 NewDesignator=C260
Change Component Designator: OldDesignator=C1009 NewDesignator=C261
Change Component Designator: OldDesignator=C1010 NewDesignator=C262
Change Component Designator: OldDesignator=C1011 NewDesignator=C263
Change Component Designator: OldDesignator=C1012 NewDesignator=C264
Change Component Designator: OldDesignator=C1013 NewDesignator=C265
Change Component Designator: OldDesignator=C1014 NewDesignator=C266
Change Component Designator: OldDesignator=C1015 NewDesignator=C267
Change Component Designator: OldDesignator=C1016 NewDesignator=C268
Change Component Designator: OldDesignator=C1017 NewDesignator=C269
Change Component Designator: OldDesignator=C1018 NewDesignator=C270
Change Component Designator: OldDesignator=C1019 NewDesignator=C271
Change Component Designator: OldDesignator=C1020 NewDesignator=C272
Change Component Designator: OldDesignator=C1021 NewDesignator=C273
Change Component Designator: OldDesignator=C1022 NewDesignator=C274
Change Component Designator: OldDesignator=R1000 NewDesignator=R152
Change Component Designator: OldDesignator=R1001 NewDesignator=R153
Change Component Designator: OldDesignator=R1002 NewDesignator=R154
Change Component Designator: OldDesignator=R1003 NewDesignator=R155
Change Component Designator: OldDesignator=R1004 NewDesignator=R156
Change Component Designator: OldDesignator=R1005 NewDesignator=R157
Change Component Designator: OldDesignator=R1006 NewDesignator=R158
Change Component Designator: OldDesignator=R1007 NewDesignator=R159
Change Component Designator: OldDesignator=R1008 NewDesignator=R160
Change Component Designator: OldDesignator=R1009 NewDesignator=R161
Change Component Designator: OldDesignator=R1010 NewDesignator=R162
Change Component Designator: OldDesignator=R1011 NewDesignator=R163
Change Component Designator: OldDesignator=R1012 NewDesignator=R164
Change Component Designator: OldDesignator=R1013 NewDesignator=R165
Change Component Designator: OldDesignator=R1014 NewDesignator=R166
Change Component Designator: OldDesignator=R1015 NewDesignator=R167
Change Component Designator: OldDesignator=R1016 NewDesignator=R168
Change Component Designator: OldDesignator=R1017 NewDesignator=R169
Change Component Designator: OldDesignator=R1018 NewDesignator=R170
Change Component Designator: OldDesignator=R1019 NewDesignator=R171
Change Component Designator: OldDesignator=R1020 NewDesignator=R172
Change Component Designator: OldDesignator=R1021 NewDesignator=R173
Change Component Designator: OldDesignator=R1022 NewDesignator=R174
Change Component Designator: OldDesignator=R1023 NewDesignator=R175
Change Component Designator: OldDesignator=U1000 NewDesignator=U39
Change Component Designator: OldDesignator=U1001 NewDesignator=U40
Change Component Designator: OldDesignator=U1002 NewDesignator=U41
Change Component Designator: OldDesignator=U1003 NewDesignator=U42
Added Pin To Net: NetName=GND_LV Pin=C252-1
Added Pin To Net: NetName=+5V_AD Pin=C252-2
Added Pin To Net: NetName=GND_LV Pin=C253-1
Added Pin To Net: NetName=+5V_AD Pin=C253-2
Added Pin To Net: NetName=GND_LV Pin=C255-1
Added Pin To Net: NetName=GND_LV Pin=C256-1
Added Pin To Net: NetName=+5V_AD Pin=C256-2
Added Pin To Net: NetName=GND_LV Pin=C257-1
Added Pin To Net: NetName=+5V_AD Pin=C257-2
Added Pin To Net: NetName=-5V_AD Pin=C258-1
Added Pin To Net: NetName=GND_LV Pin=C258-2
Added Pin To Net: NetName=-5V_AD Pin=C259-1
Added Pin To Net: NetName=GND_LV Pin=C259-2
Added Pin To Net: NetName=GND_LV Pin=C262-1
Added Pin To Net: NetName=GND_LV Pin=C263-1
Added Pin To Net: NetName=+5V_AD Pin=C263-2
Added Pin To Net: NetName=GND_LV Pin=C264-1
Added Pin To Net: NetName=+5V_AD Pin=C264-2
Added Pin To Net: NetName=-5V_AD Pin=C265-1
Added Pin To Net: NetName=GND_LV Pin=C265-2
Added Pin To Net: NetName=-5V_AD Pin=C266-1
Added Pin To Net: NetName=GND_LV Pin=C266-2
Added Pin To Net: NetName=GND_LV Pin=C269-1
Added Pin To Net: NetName=GND_LV Pin=C270-1
Added Pin To Net: NetName=+5V_AD Pin=C270-2
Added Pin To Net: NetName=GND_LV Pin=C271-1
Added Pin To Net: NetName=+5V_AD Pin=C271-2
Added Pin To Net: NetName=-5V_AD Pin=C272-1
Added Pin To Net: NetName=GND_LV Pin=C272-2
Added Pin To Net: NetName=-5V_AD Pin=C273-1
Added Pin To Net: NetName=GND_LV Pin=C273-2
Added Pin To Net: NetName=1V5_IL Pin=R123-1
Added Pin To Net: NetName=NetR79_2 Pin=R154-2
Added Pin To Net: NetName=NetR79_2 Pin=R155-1
Added Pin To Net: NetName=GND_LV Pin=R155-2
Added Pin To Net: NetName=NetR80_2 Pin=R157-2
Added Pin To Net: NetName=NetR80_2 Pin=R158-1
Added Pin To Net: NetName=GND_LV Pin=R158-2
Added Pin To Net: NetName=NetR88_2 Pin=R162-2
Added Pin To Net: NetName=NetR88_2 Pin=R163-1
Added Pin To Net: NetName=GND_LV Pin=R163-2
Added Pin To Net: NetName=NetR89_2 Pin=R165-2
Added Pin To Net: NetName=NetR89_2 Pin=R166-1
Added Pin To Net: NetName=GND_LV Pin=R166-2
Added Pin To Net: NetName=NetR97_2 Pin=R170-2
Added Pin To Net: NetName=NetR97_2 Pin=R171-1
Added Pin To Net: NetName=GND_LV Pin=R171-2
Added Pin To Net: NetName=NetR98_2 Pin=R173-2
Added Pin To Net: NetName=NetR98_2 Pin=R174-1
Added Pin To Net: NetName=GND_LV Pin=R174-2
Added Pin To Net: NetName=1V5_Vo1 Pin=U31-2
Added Pin To Net: NetName=+5V_AD Pin=U39-1
Added Pin To Net: NetName=GND_LV Pin=U39-3
